species	tissue_class	tissue_type	cell_name	marker	symbol	marker_source
Mouse	Brain	Brain	Astrocyte	Camsap1	Camsap1	Experiment
Mouse	Brain	Brain	Neural stem cell	JAM-C	Jam3	Experiment
Mouse	Brain	Brain	Astrocyte	Vimentin		Experiment
Mouse	Brain	Brain	Astrocyte	GFAP		Experiment
Mouse	Brain	Brain	Astrocyte	S100 beta		Experiment
Mouse	Brain	Brain	Astrocyte	GFAP		Experiment
Mouse	Brain	Brain	Stem cell	Nestin		Experiment
Mouse	Brain	Hippocampus	Neural stem cell	Prominin-1		Experiment
Mouse	Brain	Hippocampus	Neural stem cell	CD133	Prom1	Experiment
Mouse	Brain	Brain	Astrocyte	GFAP		Experiment
Mouse	Brain	Brain	Immature neuron	DCX		Experiment
Mouse	Brain	Brain	Oligodendrocyte	Olig2	Olig2	Experiment
Mouse	Brain	Brain	Endothelial cell	Pecam1	Pecam1	Experiment
Mouse	Brain	Brain	Microglial cell	Lrp8	Lrp8	Experiment
Mouse	Brain	Brain	Microglial cell	Pap2c		Experiment
Mouse	Brain	Brain	Microglial cell	Lpcat3	Lpcat3	Experiment
Mouse	Brain	Brain	Microglial cell	Mcoln3	Mcoln3	Experiment
Mouse	Brain	Brain	Microglial cell	Stab1	Stab1	Experiment
Mouse	Brain	Brain	Microglial cell	Mfsd10	Mfsd10	Experiment
Mouse	Brain	Brain	Microglial cell	Slco4a1	Slco4a1	Experiment
Mouse	Brain	Brain	Microglial cell	Slc30a5	Slc30a5	Experiment
Mouse	Brain	Brain	Oligodendrocyte precursor cell	NG2	Vcan	Experiment
Mouse	Brain	Brain	Microglial cell	Iba1	Iba1	Experiment
Mouse	Brain	Brain	Neural stem cell	Calcyclin		Experiment
Mouse	Brain	Brain	Astrocyte precursor cell	Calcyclin		Experiment
Mouse	Brain	Brain	Cancer stem cell	CD24		Experiment
Mouse	Brain	Brain	Cancer stem cell	CD133	Prom1	Experiment
Mouse	Brain	Brain	Cancer stem cell	CD117	Kit	Experiment
Mouse	Brain	Brain	Cancer stem cell	CD15	Fut4	Experiment
Mouse	Brain	Brain	Cancer stem cell	CD44		Experiment
Mouse	Brain	Brain	Pericyte	CD146	Mcam	Experiment
Mouse	Brain	Brain	Pericyte	NG2	Vcan	Experiment
Mouse	Brain	Brain	Pericyte	PDGFR-beta		Experiment
Mouse	Brain	Brain	Radial glial cell	Nestin		Experiment
Mouse	Brain	Brain	Early neuroblast	Fgf10	Fgf10	Single-cell sequencing
Mouse	Brain	Brain	Early neuroblast	Six1	Six1	Single-cell sequencing
Mouse	Brain	Brain	Late neuroblast	Isl1	Isl1	Single-cell sequencing
Mouse	Brain	Brain	Early neuroblast	Acvr2a	Acvr2a	Single-cell sequencing
Mouse	Brain	Brain	Ventral otocyst	Pax2	Pax2	Single-cell sequencing
Mouse	Brain	Brain	Ventral otocyst	Gli1	Gli1	Single-cell sequencing
Mouse	Brain	Brain	Dorsal otocyst	Wnt7a	Wnt7a	Single-cell sequencing
Mouse	Brain	Brain	Dorsal otocyst	Dlx5	Dlx5	Single-cell sequencing
Mouse	Brain	Brain	Dorsal otocyst	Fgfr3	Fgfr3	Single-cell sequencing
Mouse	Brain	Brain	Ventral otocyst	Hes1	Hes1	Single-cell sequencing
Mouse	Brain	Brain	Late neuroblast	Fzd10	Fzd10	Single-cell sequencing
Mouse	Brain	Brain	Ventral otocyst	Otx2	Otx2	Single-cell sequencing
Mouse	Brain	Brain	Ventral otocyst	Sox2	Sox2	Single-cell sequencing
Mouse	Brain	Brain	Ventral otocyst	Hey2	Hey2	Single-cell sequencing
Mouse	Brain	Brain	Early neuroblast	Notch1	Notch1	Single-cell sequencing
Mouse	Brain	Brain	Dorsal otocyst	Gbx2	Gbx2	Single-cell sequencing
Mouse	Brain	Brain	Early neuroblast	Fgf8	Fgf8	Single-cell sequencing
Mouse	Brain	Brain	Early neuroblast	Hes5	Hes5	Single-cell sequencing
Mouse	Brain	Brain	Ventral otocyst	Ntf3	Ntf3	Single-cell sequencing
Mouse	Brain	Brain	Ventral otocyst	Otx1	Otx1	Single-cell sequencing
Mouse	Brain	Brain	Ventral otocyst	Fbxo2	Fbxo2	Single-cell sequencing
Mouse	Brain	Brain	Late neuroblast	Neurog2	Neurog2	Single-cell sequencing
Mouse	Brain	Brain	Ventral otocyst	Ptc2		Single-cell sequencing
Mouse	Brain	Brain	Dorsal otocyst	Wnt7b	Wnt7b	Single-cell sequencing
Mouse	Brain	Brain	Dorsal otocyst	Fst	Fst	Single-cell sequencing
Mouse	Brain	Brain	Ventral otocyst	Fzd8	Fzd8	Single-cell sequencing
Mouse	Brain	Brain	Dorsal otocyst	Inhba	Inhba	Single-cell sequencing
Mouse	Brain	Brain	Early neuroblast	Neurog1	Neurog1	Single-cell sequencing
Mouse	Brain	Brain	Dorsal otocyst	Oc90	Oc90	Single-cell sequencing
Mouse	Brain	Brain	Late neuroblast	Neurod1	Neurod1	Single-cell sequencing
Mouse	Brain	Brain	Ventral otocyst	Lfng	Lfng	Single-cell sequencing
Mouse	Brain	Brain	Dorsal otocyst	Emx2	Emx2	Single-cell sequencing
Mouse	Brain	Brain	Dorsal otocyst	Gata2	Gata2	Single-cell sequencing
Mouse	Brain	Brain	Late neuroblast	Eya2	Eya2	Single-cell sequencing
Mouse	Brain	Brain	Dorsal otocyst	Bmp4	Bmp4	Single-cell sequencing
Mouse	Brain	Brain	Ventral otocyst	Trpm3	Trpm3	Single-cell sequencing
Mouse	Brain	Brain	Late neuroblast	Jag2	Jag2	Single-cell sequencing
Mouse	Brain	Brain	Early neuroblast	Fgf3	Fgf3	Single-cell sequencing
Mouse	Brain	Brain	Ventral otocyst	Otol1	Otol1	Single-cell sequencing
Mouse	Brain	Brain	Dorsal otocyst	Wnt2b	Wnt2b	Single-cell sequencing
Mouse	Brain	Brain	Stem cell	Nestin		Experiment
Mouse	Brain	Brain	Glial cell	S100	S100a1	Experiment
Mouse	Brain	Cerebellum	Rhombic lip cell	Tbr2	Eomes	Experiment
Mouse	Brain	Cerebellum	Rhombic lip cell	Lmx1a	Lmx1a	Experiment
Mouse	Brain	Cerebellum	Rhombic lip cell	Wls	Wls	Experiment
Mouse	Brain	Cerebellum	Rhombic lip cell	Math1	Atoh1	Experiment
Mouse	Brain	Cerebellum	Rhombic lip cell	Pax6	Pax6	Experiment
Mouse	Brain	Brain	Astrocyte	PDPN		Experiment
Mouse	Brain	Brain	Neuron	GFAP		Experiment
Mouse	Brain	Brain	Neuron	NF	Nfasc	Experiment
Mouse	Brain	Brain	Neuron	Iba1	Iba1	Experiment
Mouse	Brain	Brain	Neuron	MAP2		Experiment
Mouse	Brain	Brain	Endothelial cell	CD31		Experiment
Mouse	Brain	Brain	Pericyte	CD13		Experiment
Mouse	Brain	Brain	Pericyte	PDGFR-beta		Experiment
Mouse	Brain	Brain	Peripheral monocyte	CD11b		Experiment
Mouse	Brain	Brain	O cell	Aspa	Aspa	Single-cell sequencing
Mouse	Brain	Brain	Neuroblast	Trn1		Single-cell sequencing
Mouse	Brain	Brain	Neuroblast	Dlx1	Dlx1	Single-cell sequencing
Mouse	Brain	Brain	O cell	Sox10	Sox10	Single-cell sequencing
Mouse	Brain	Brain	Neuroblast	Ccnd2	Ccnd2	Single-cell sequencing
Mouse	Brain	Brain	O cell	Gal3st1	Gal3st1	Single-cell sequencing
Mouse	Brain	Brain	Endothelial cell	CD34		Single-cell sequencing
Mouse	Brain	Brain	O cell	Mag	Mag	Single-cell sequencing
Mouse	Brain	Brain	Neuroblast	Fxyd6	Fxyd6	Single-cell sequencing
Mouse	Brain	Brain	Neuroblast	Dlx5	Dlx5	Single-cell sequencing
Mouse	Brain	Brain	O cell	Mog	Mog	Single-cell sequencing
Mouse	Brain	Brain	O cell	Kcna1	Kcna1	Single-cell sequencing
Mouse	Brain	Brain	Endothelial cell	Kdr	Kdr	Single-cell sequencing
Mouse	Brain	Brain	Neuroblast	Pfn2	Pfn2	Single-cell sequencing
Mouse	Brain	Brain	O cell	Kcna6	Kcna6	Single-cell sequencing
Mouse	Brain	Brain	Neuroblast	Dlx2	Dlx2	Single-cell sequencing
Mouse	Brain	Brain	Neuroblast	Foxc1	Foxc1	Single-cell sequencing
Mouse	Brain	Brain	Neuroblast	Dchs1	Dchs1	Single-cell sequencing
Mouse	Brain	Brain	Neuroblast	Sox5	Sox5	Single-cell sequencing
Mouse	Brain	Brain	Neuroblast	Evf1	Dlx6os1	Single-cell sequencing
Mouse	Brain	Brain	Neuroblast	Pou3f3	Pou3f3	Single-cell sequencing
Mouse	Brain	Brain	Neuroblast	Klf5a		Single-cell sequencing
Mouse	Brain	Brain	Neuroblast	Dbn1	Dbn1	Single-cell sequencing
Mouse	Brain	Brain	Endothelial cell	Fn1	Fn1	Single-cell sequencing
Mouse	Brain	Brain	Endothelial cell	Eng	Eng	Single-cell sequencing
Mouse	Brain	Brain	Endothelial cell	Flt1	Flt1	Single-cell sequencing
Mouse	Brain	Brain	Neuroblast	Olfm1	Olfm1	Single-cell sequencing
Mouse	Brain	Brain	Neuroblast	Dlx6	Dlx6	Single-cell sequencing
Mouse	Brain	Brain	O cell	Mobp	Mobp	Single-cell sequencing
Mouse	Brain	Brain	O cell	Olig1	Olig1	Single-cell sequencing
Mouse	Brain	Brain	O cell	Cldn11	Cldn11	Single-cell sequencing
Mouse	Brain	Brain	Endothelial cell	Tek	Tek	Single-cell sequencing
Mouse	Brain	Brain	Neuroblast	Crmp1	Crmp1	Single-cell sequencing
Mouse	Brain	Brain	Neural stem cell	GLAST	Slc1a3	Experiment
Mouse	Brain	Brain	Neural stem cell	Prominin-1		Experiment
Mouse	Brain	Brain	Neuroblast	PSA-NCAM		Experiment
Mouse	Brain	Brain	Microglial cell	Iba1	Iba1	Experiment
Mouse	Brain	Brain	Early intermediate precursor cell	Sox11	Sox11	Single-cell sequencing
Mouse	Brain	Brain	Neural stem cell	Sox9	Sox9	Single-cell sequencing
Mouse	Brain	Brain	Neural stem cell	Gfap	Gfap	Single-cell sequencing
Mouse	Brain	Brain	Neural stem cell	Slc1a3	Slc1a3	Single-cell sequencing
Mouse	Brain	Brain	Neural stem cell	Sox2	Sox2	Single-cell sequencing
Mouse	Brain	Brain	Neural stem cell	Thrsp	Thrsp	Single-cell sequencing
Mouse	Brain	Brain	Neural stem cell	Blbp	Fabp7	Single-cell sequencing
Mouse	Brain	Brain	Early intermediate precursor cell	Tbr2	Eomes	Single-cell sequencing
Mouse	Brain	Brain	Neural stem cell	Apoe	Apoe	Single-cell sequencing
Mouse	Brain	Brain	Neuron	Nestin		Experiment
Mouse	Brain	Brain	Neuron	MAP2		Experiment
Mouse	Brain	Brain	Neuron	Neuron-specific enolase		Experiment
Mouse	Brain	Brain	Precursor cell	Neurod1	Neurod1	Single-cell sequencing
Mouse	Brain	Brain	Mature olfactory sensory neuron	Omp	Omp	Single-cell sequencing
Mouse	Brain	Brain	Precursor cell	Neurog1	Neurog1	Single-cell sequencing
Mouse	Brain	Brain	Progenitor cell	Ascl1	Ascl1	Single-cell sequencing
Mouse	Brain	Brain	Immature olfactory sensory neuron	Gng8	Gng8	Single-cell sequencing
Mouse	Brain	Brain	Immature olfactory sensory neuron	Gap43	Gap43	Single-cell sequencing
Mouse	Brain	Brain	Olfactory sensory neuron	Ncam1	Ncam1	Single-cell sequencing
Mouse	Brain	Brain	Olfactory sensory neuron	Omp	Omp	Single-cell sequencing
Mouse	Brain	Brain	Olfactory sensory neuron	Ano2	Ano2	Single-cell sequencing
Mouse	Brain	Brain	Olfactory sensory neuron	Cngb1	Cngb1	Single-cell sequencing
Mouse	Brain	Brain	Olfactory sensory neuron	Neurog1	Neurog1	Single-cell sequencing
Mouse	Brain	Brain	Olfactory sensory neuron	Cnga4	Cnga4	Single-cell sequencing
Mouse	Brain	Brain	Olfactory sensory neuron	Cnga2	Cnga2	Single-cell sequencing
Mouse	Brain	Brain	Olfactory sensory neuron	Adcy3	Adcy3	Single-cell sequencing
Mouse	Brain	Brain	Olfactory sensory neuron	Gnal	Gnal	Single-cell sequencing
Mouse	Brain	Brain	Pericyte	PDGFR-beta		Experiment
Mouse	Brain	Brain	Astrocyte	GFAP		Experiment
Mouse	Brain	Brain	Microglial cell	Iba1	Iba1	Experiment
Mouse	Brain	Brain	Neural stem cell	Sox2	Sox2	Experiment
Mouse	Brain	Brain	Neural stem cell	Nestin		Experiment
Mouse	Brain	Brain	Astrocyte	GFAP		Experiment
Mouse	Brain	Brain	Neural stem cell	CD133	Prom1	Experiment
Mouse	Brain	Brain	Neural stem cell	EGFR		Experiment
Mouse	Brain	Brain	Neural stem cell	Prom1	Prom1	Experiment
Mouse	Brain	Brain	Bipotent glial progenitor cell	ACSA-2		Experiment
Mouse	Brain	Brain	Neural stem cell	ACSA-2		Experiment
Mouse	Brain	Brain	Astrocyte	ACSA-2		Experiment
Mouse	Brain	Brain	Radial glial cell	ACSA-2		Experiment
Mouse	Brain	Brain	Neuron	NeuN	Rbfox3	Experiment
Mouse	Brain	Brain	Astrocyte	Atp1b2	Atp1b2	Experiment
Mouse	Brain	Brain	Astrocyte	GFAP		Experiment
Mouse	Brain	Brain	Microglial cell	Aif1	Aif1	Experiment
Mouse	Brain	Brain	Microglial cell	CD68		Experiment
Mouse	Brain	Brain	Microglial cell	Cx3cr1	Cx3cr1	Experiment
Mouse	Brain	Brain	Microglial cell	Itgam	Itgam	Experiment
Mouse	Brain	Brain	Neuron	NeuN	Rbfox3	Experiment
Mouse	Brain	Brain	Oligodendrocyte	Olig2	Olig2	Experiment
Mouse	Brain	Brain	Chandelier cell	Ibsp	Ibsp	Single-cell sequencing
Mouse	Brain	Brain	Interneuron-selective cell	Tpbg	Tpbg	Single-cell sequencing
Mouse	Brain	Brain	Long-projecting GABAergic cell	B2m	B2m	Single-cell sequencing
Mouse	Brain	Brain	Martinotti cell	Sgcd	Sgcd	Single-cell sequencing
Mouse	Brain	Brain	Long-projecting GABAergic cell	Opn3	Opn3	Single-cell sequencing
Mouse	Brain	Brain	Long-projecting GABAergic cell	Gm11744	Prcd	Single-cell sequencing
Mouse	Brain	Brain	Martinotti cell	Capn5	Capn5	Single-cell sequencing
Mouse	Brain	Brain	Long-projecting GABAergic cell	Kcnmb4	Kcnmb4	Single-cell sequencing
Mouse	Brain	Brain	Martinotti cell	Atp2b4	Atp2b4	Single-cell sequencing
Mouse	Brain	Brain	Martinotti cell	Hdac4	Hdac4	Single-cell sequencing
Mouse	Brain	Brain	Long-projecting GABAergic cell	Slc5a7	Slc5a7	Single-cell sequencing
Mouse	Brain	Brain	Basket cell	Eif5a2	Eif5a2	Single-cell sequencing
Mouse	Brain	Brain	Long-projecting GABAergic cell	Nos1	Nos1	Single-cell sequencing
Mouse	Brain	Brain	Long-projecting GABAergic cell	Prex1	Prex1	Single-cell sequencing
Mouse	Brain	Brain	Long-projecting GABAergic cell	Arhgef15	Arhgef15	Single-cell sequencing
Mouse	Brain	Brain	Martinotti cell	Lipa	Lipa	Single-cell sequencing
Mouse	Brain	Brain	Chandelier cell	Hs3st4	Hs3st4	Single-cell sequencing
Mouse	Brain	Brain	Chandelier cell	Unc5b	Unc5b	Single-cell sequencing
Mouse	Brain	Brain	Chandelier cell	Errfi1	Errfi1	Single-cell sequencing
Mouse	Brain	Brain	CCK basket cell	Sntb1	Sntb1	Single-cell sequencing
Mouse	Brain	Brain	Interneuron-selective cell	Celsr3	Celsr3	Single-cell sequencing
Mouse	Brain	Brain	Interneuron-selective cell	Egfr	Egfr	Single-cell sequencing
Mouse	Brain	Brain	Long-projecting GABAergic cell	Gabrg1	Gabrg1	Single-cell sequencing
Mouse	Brain	Brain	Long-projecting GABAergic cell	N28178	Phf24	Single-cell sequencing
Mouse	Brain	Brain	Martinotti cell	Timp3	Timp3	Single-cell sequencing
Mouse	Brain	Brain	Martinotti cell	Bai1	Adgrb1	Single-cell sequencing
Mouse	Brain	Brain	CCK basket cell	Cadps2	Cadps2	Single-cell sequencing
Mouse	Brain	Brain	Long-projecting GABAergic cell	Cnih3	Cnih3	Single-cell sequencing
Mouse	Brain	Brain	Basket cell	Slit3	Slit3	Single-cell sequencing
Mouse	Brain	Brain	Long-projecting GABAergic cell	1700058G18Rik	Kcnmb4	Single-cell sequencing
Mouse	Brain	Brain	CCK basket cell	Eps8	Eps8	Single-cell sequencing
Mouse	Brain	Brain	Interneuron-selective cell	Rprm	Rprm	Single-cell sequencing
Mouse	Brain	Brain	Martinotti cell	Il34	Il34	Single-cell sequencing
Mouse	Brain	Brain	Interneuron-selective cell	Sema5b	Sema5b	Single-cell sequencing
Mouse	Brain	Brain	CCK basket cell	Kcnf1	Kcnf1	Single-cell sequencing
Mouse	Brain	Brain	Interneuron-selective cell	Ptms	Ptms	Single-cell sequencing
Mouse	Brain	Brain	Long-projecting GABAergic cell	Ntn1	Ntn1	Single-cell sequencing
Mouse	Brain	Brain	Long-projecting GABAergic cell	Sc5d	Sc5d	Single-cell sequencing
Mouse	Brain	Brain	Long-projecting GABAergic cell	Tppp3	Tppp3	Single-cell sequencing
Mouse	Brain	Brain	Long-projecting GABAergic cell	Clic1	Clic1	Single-cell sequencing
Mouse	Brain	Brain	Long-projecting GABAergic cell	Hey1	Hey1	Single-cell sequencing
Mouse	Brain	Brain	Chandelier cell	Pthlh	Pthlh	Single-cell sequencing
Mouse	Brain	Brain	CCK basket cell	Ldb2	Ldb2	Single-cell sequencing
Mouse	Brain	Brain	Long-projecting GABAergic cell	Sv2b	Sv2b	Single-cell sequencing
Mouse	Brain	Brain	Long-projecting GABAergic cell	Fndc1	Fndc1	Single-cell sequencing
Mouse	Brain	Brain	Long-projecting GABAergic cell	Wwc1	Wwc1	Single-cell sequencing
Mouse	Brain	Brain	Long-projecting GABAergic cell	1700086L19Rik	1700086L19Rik	Single-cell sequencing
Mouse	Brain	Brain	Long-projecting GABAergic cell	Chodl	Chodl	Single-cell sequencing
Mouse	Brain	Brain	Chandelier cell	Gdf10	Gdf10	Single-cell sequencing
Mouse	Brain	Brain	Long-projecting GABAergic cell	St6galnac2	St6galnac2	Single-cell sequencing
Mouse	Brain	Brain	Long-projecting GABAergic cell	Carhsp1	Carhsp1	Single-cell sequencing
Mouse	Brain	Brain	Basket cell	Prss23	Prss23	Single-cell sequencing
Mouse	Brain	Brain	Chandelier cell	Dusp14	Dusp14	Single-cell sequencing
Mouse	Brain	Brain	Basket cell	Hadhb	Hadhb	Single-cell sequencing
Mouse	Brain	Brain	Chandelier cell	Trps1	Trps1	Single-cell sequencing
Mouse	Brain	Brain	Long-projecting GABAergic cell	Sst	Sst	Single-cell sequencing
Mouse	Brain	Brain	Martinotti cell	Cdh22	Cdh22	Single-cell sequencing
Mouse	Brain	Brain	Basket cell	Syt2	Syt2	Single-cell sequencing
Mouse	Brain	Brain	Martinotti cell	Zdhhc18	Zdhhc18	Single-cell sequencing
Mouse	Brain	Brain	Long-projecting GABAergic cell	Pou3f2	Pou3f2	Single-cell sequencing
Mouse	Brain	Brain	Basket cell	Cartpt	Cartpt	Single-cell sequencing
Mouse	Brain	Brain	CCK basket cell	Tac2	Tac2	Single-cell sequencing
Mouse	Brain	Brain	Chandelier cell	Necab2	Necab2	Single-cell sequencing
Mouse	Brain	Brain	Interneuron-selective cell	Dok7	Dok7	Single-cell sequencing
Mouse	Brain	Brain	Martinotti cell	Snx8	Snx8	Single-cell sequencing
Mouse	Brain	Brain	Martinotti cell	Cdh7	Cdh7	Single-cell sequencing
Mouse	Brain	Brain	Chandelier cell	Peli1	Peli1	Single-cell sequencing
Mouse	Brain	Brain	CCK basket cell	Cxcl14	Cxcl14	Single-cell sequencing
Mouse	Brain	Brain	Interneuron-selective cell	Dlgap3	Dlgap3	Single-cell sequencing
Mouse	Brain	Brain	Long-projecting GABAergic cell	S100a10	S100a10	Single-cell sequencing
Mouse	Brain	Brain	Basket cell	Cox6a2	Cox6a2	Single-cell sequencing
Mouse	Brain	Brain	Interneuron-selective cell	Bcar3	Bcar3	Single-cell sequencing
Mouse	Brain	Brain	Long-projecting GABAergic cell	Egfl7	Egfl7	Single-cell sequencing
Mouse	Brain	Brain	Chandelier cell	Ifi27l1	Ifi27	Single-cell sequencing
Mouse	Brain	Brain	Martinotti cell	Foxred2	Foxred2	Single-cell sequencing
Mouse	Brain	Brain	Martinotti cell	Rasl11a	Rasl11a	Single-cell sequencing
Mouse	Brain	Brain	Martinotti cell	Lama4	Lama4	Single-cell sequencing
Mouse	Brain	Brain	Long-projecting GABAergic cell	Nptx1	Nptx1	Single-cell sequencing
Mouse	Brain	Brain	Basket cell	Nefh	Nefh	Single-cell sequencing
Mouse	Brain	Brain	CCK basket cell	Pde7b	Pde7b	Single-cell sequencing
Mouse	Brain	Brain	Basket cell	St6galnac5	St6galnac5	Single-cell sequencing
Mouse	Brain	Brain	Chandelier cell	Gpr12	Gpr12	Single-cell sequencing
Mouse	Brain	Brain	Long-projecting GABAergic cell	Col11a1	Col11a1	Single-cell sequencing
Mouse	Brain	Brain	Long-projecting GABAergic cell	Nnat	Nnat	Single-cell sequencing
Mouse	Brain	Brain	Chandelier cell	Nanp	Nanp	Single-cell sequencing
Mouse	Brain	Brain	Chandelier cell	Ramp3	Ramp3	Single-cell sequencing
Mouse	Brain	Brain	Martinotti cell	Sirt4	Sirt4	Single-cell sequencing
Mouse	Brain	Brain	Long-projecting GABAergic cell	Ndst4	Ndst4	Single-cell sequencing
Mouse	Brain	Brain	Chandelier cell	Pygm	Pygm	Single-cell sequencing
Mouse	Brain	Brain	Long-projecting GABAergic cell	Oxtr	Oxtr	Single-cell sequencing
Mouse	Brain	Brain	Chandelier cell	Ier2	Ier2	Single-cell sequencing
Mouse	Brain	Brain	Chandelier cell	Fam163b	Fam163b	Single-cell sequencing
Mouse	Brain	Brain	Long-projecting GABAergic cell	Gabra2	Gabra2	Single-cell sequencing
Mouse	Brain	Brain	Long-projecting GABAergic cell	Wnt2	Wnt2	Single-cell sequencing
Mouse	Brain	Brain	Chandelier cell	Pdlim3	Pdlim3	Single-cell sequencing
Mouse	Brain	Brain	Basket cell	Slit2	Slit2	Single-cell sequencing
Mouse	Brain	Brain	Long-projecting GABAergic cell	Ptpru	Ptpru	Single-cell sequencing
Mouse	Brain	Brain	CCK basket cell	Fam163a	Fam163a	Single-cell sequencing
Mouse	Brain	Brain	Martinotti cell	2810011L19Rik	Tunar	Single-cell sequencing
Mouse	Brain	Brain	CCK basket cell	Usp53	Usp53	Single-cell sequencing
Mouse	Brain	Brain	Long-projecting GABAergic cell	Rasgef1b	Rasgef1b	Single-cell sequencing
Mouse	Brain	Brain	Long-projecting GABAergic cell	Ccdc109b	Mcub	Single-cell sequencing
Mouse	Brain	Brain	Long-projecting GABAergic cell	Pnma3	Pnma3	Single-cell sequencing
Mouse	Brain	Brain	Long-projecting GABAergic cell	Slc5a5	Slc5a5	Single-cell sequencing
Mouse	Brain	Brain	CCK basket cell	Il4ra	Il4ra	Single-cell sequencing
Mouse	Brain	Brain	Long-projecting GABAergic cell	Tspan17	Tspan17	Single-cell sequencing
Mouse	Brain	Brain	Martinotti cell	Hpse	Hpse	Single-cell sequencing
Mouse	Brain	Brain	Interneuron-selective cell	Nr2e1	Nr2e1	Single-cell sequencing
Mouse	Brain	Brain	Basket cell	Iqgap2	Iqgap2	Single-cell sequencing
Mouse	Brain	Brain	Martinotti cell	Kcnk13	Kcnk13	Single-cell sequencing
Mouse	Brain	Brain	Chandelier cell	Fgf13	Fgf13	Single-cell sequencing
Mouse	Brain	Brain	Martinotti cell	Unc13c	Unc13c	Single-cell sequencing
Mouse	Brain	Brain	Long-projecting GABAergic cell	D430019H16Rik	D430019H16Rik	Single-cell sequencing
Mouse	Brain	Brain	Long-projecting GABAergic cell	Slc7a3	Slc7a3	Single-cell sequencing
Mouse	Brain	Brain	Interneuron-selective cell	2010300C02Rik	Cracdl	Single-cell sequencing
Mouse	Brain	Brain	Long-projecting GABAergic cell	Patl2	Patl2	Single-cell sequencing
Mouse	Brain	Brain	Interneuron-selective cell	Slc12a4	Slc12a4	Single-cell sequencing
Mouse	Brain	Brain	Basket cell	Esrrg	Esrrg	Single-cell sequencing
Mouse	Brain	Brain	Long-projecting GABAergic cell	Bace2	Bace2	Single-cell sequencing
Mouse	Brain	Brain	CCK basket cell	Col15a1	Col15a1	Single-cell sequencing
Mouse	Brain	Brain	Interneuron-selective cell	Npy2r	Npy2r	Single-cell sequencing
Mouse	Brain	Brain	Long-projecting GABAergic cell	Cort	Cort	Single-cell sequencing
Mouse	Brain	Brain	Interneuron-selective cell	Rgs16	Rgs16	Single-cell sequencing
Mouse	Brain	Brain	Chandelier cell	Mctp2	Mctp2	Single-cell sequencing
Mouse	Brain	Brain	Interneuron-selective cell	Unc5a	Unc5a	Single-cell sequencing
Mouse	Brain	Brain	Interneuron-selective cell	St3gal1	St3gal1	Single-cell sequencing
Mouse	Brain	Brain	Basket cell	Kcnj9	Kcnj9	Single-cell sequencing
Mouse	Brain	Brain	Interneuron-selective cell	Cpox	Cpox	Single-cell sequencing
Mouse	Brain	Brain	CCK basket cell	Jam2	Jam2	Single-cell sequencing
Mouse	Brain	Brain	Long-projecting GABAergic cell	Gpr126	Adgrg6	Single-cell sequencing
Mouse	Brain	Brain	Chandelier cell	Cpne5	Cpne5	Single-cell sequencing
Mouse	Brain	Brain	CCK basket cell	Unk	Unk	Single-cell sequencing
Mouse	Brain	Brain	Basket cell	Tac1	Tac1	Single-cell sequencing
Mouse	Brain	Brain	Interneuron-selective cell	Chrna4	Chrna4	Single-cell sequencing
Mouse	Brain	Brain	CCK basket cell	Pnoc	Pnoc	Single-cell sequencing
Mouse	Brain	Brain	Long-projecting GABAergic cell	Gpr88	Gpr88	Single-cell sequencing
Mouse	Brain	Brain	Chandelier cell	Krt12	Krt12	Single-cell sequencing
Mouse	Brain	Brain	CCK basket cell	Egln3	Egln3	Single-cell sequencing
Mouse	Brain	Brain	Chandelier cell	L2hgdh	L2hgdh	Single-cell sequencing
Mouse	Brain	Brain	Long-projecting GABAergic cell	Htr1a	Htr1a	Single-cell sequencing
Mouse	Brain	Brain	Basket cell	Moxd1	Moxd1	Single-cell sequencing
Mouse	Brain	Brain	Basket cell	Nxph2	Nxph2	Single-cell sequencing
Mouse	Brain	Brain	CCK basket cell	Ccnd3	Ccnd3	Single-cell sequencing
Mouse	Brain	Brain	Long-projecting GABAergic cell	Fam46a	Tent5a	Single-cell sequencing
Mouse	Brain	Brain	Interneuron-selective cell	Wscd2	Wscd2	Single-cell sequencing
Mouse	Brain	Brain	Chandelier cell	Rasgrp1	Rasgrp1	Single-cell sequencing
Mouse	Brain	Brain	Long-projecting GABAergic cell	A930011G23Rik		Single-cell sequencing
Mouse	Brain	Brain	CCK basket cell	Mxd1	Mxd1	Single-cell sequencing
Mouse	Brain	Brain	Basket cell	Fam43a	Fam43a	Single-cell sequencing
Mouse	Brain	Brain	CCK basket cell	Scyl2	Scyl2	Single-cell sequencing
Mouse	Brain	Brain	CCK basket cell	Larp1b	Larp1b	Single-cell sequencing
Mouse	Brain	Brain	CCK basket cell	Cnr1	Cnr1	Single-cell sequencing
Mouse	Brain	Brain	Interneuron-selective cell	Ostf1	Ostf1	Single-cell sequencing
Mouse	Brain	Brain	Chandelier cell	Hapln1	Hapln1	Single-cell sequencing
Mouse	Brain	Brain	CCK basket cell	Ramp1	Ramp1	Single-cell sequencing
Mouse	Brain	Brain	CCK basket cell	Cryab	Cryab	Single-cell sequencing
Mouse	Brain	Brain	Chandelier cell	Pde3a	Pde3a	Single-cell sequencing
Mouse	Brain	Brain	CCK basket cell	Sp8	Sp8	Single-cell sequencing
Mouse	Brain	Brain	Basket cell	Vamp1	Vamp1	Single-cell sequencing
