species	tissue_class	tissue_type	cell_name	marker	symbol	marker_source
Mouse	Adipose tissue	Adipose tissue	Fat cell (adipocyte)	CD137		Experiment
Mouse	Adipose tissue	Adipose tissue	Fat cell (adipocyte)	Tmem26	Tmem26	Experiment
Mouse	Adipose tissue	Adipose tissue	Fat cell (adipocyte)	Tbx1	Tbx1	Experiment
Mouse	Adipose tissue	Adipose tissue	Mesenchymal stem cell	CD44		Experiment
Mouse	Adipose tissue	Adipose tissue	Mesenchymal stem cell	CD34		Experiment
Mouse	Adipose tissue	Adipose tissue	Mesenchymal stem cell	CD90	Thy1	Experiment
Mouse	Adipose tissue	White adipose tissue	M1 macrophage	CD11c		Experiment
Mouse	Adipose tissue	White adipose tissue	M2 macrophage	CD206	Mrc1	Experiment
Mouse	Adipose tissue	Adipose tissue	Preadipocyte	Pref-1		Experiment
Mouse	Adipose tissue	White adipose tissue	Adipogenic progenitor cell	Sca-1	Ly6a	Experiment
Mouse	Adipose tissue	White adipose tissue	Adipogenic progenitor cell	Lin		Experiment
Mouse	Adipose tissue	White adipose tissue	Preadipocyte	CD38		Experiment
Mouse	Adipose tissue	Adipose tissue	Macrophage	F4/80	Adgre1	Experiment
Mouse	Adipose tissue	Adipose tissue	Mesenchymal stem cell	CD44		Experiment
Mouse	Adipose tissue	Adipose tissue	Mesenchymal stem cell	CD90	Thy1	Experiment
Mouse	Adipose tissue	Adipose tissue	Macrophage	CD206	Mrc1	Experiment
Mouse	Adipose tissue	Adipose tissue	Macrophage	CD11c		Experiment
Mouse	Adipose tissue	Adipose tissue	Macrophage	F4/80	Adgre1	Experiment
Mouse	Adipose tissue	Adipose tissue	Adipose-derived stem cell	ALDH		Experiment
Mouse	Adipose tissue	Adipose tissue	Macrophage	F4/80	Adgre1	Experiment
Mouse	Adipose tissue	Adipose tissue	M1 macrophage	Nos2	Nos2	Experiment
Mouse	Adipose tissue	Adipose tissue	M2 macrophage	Chil3	Chil3	Experiment
Mouse	Adipose tissue	Adipose tissue	M1 macrophage	Il1b	Il1b	Experiment
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G2	Fmo1	Fmo1	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G4	Stat2	Stat2	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.P3	Chd8	Chd8	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G1	Xdh	Xdh	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G2	Serf1	Serf1	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G3	Serp1	Serp1	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.P3	Grem2	Grem2	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.P2	Egfr	Egfr	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G1	Sfrp2	Sfrp2	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G4	Tor3a	Tor3a	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.P2	Heph	Heph	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.P2	Adamts12	Adamts12	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.P3	Adamtsl5	Adamtsl5	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G2	Tcf12	Tcf12	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G4	Stat1	Stat1	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.P2	Gnl3	Gnl3	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.P2	Gm15261		Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.P1	Osr2	Osr2	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.P3	Bace2	Bace2	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.P3	Ccbe1	Ccbe1	Single-cell sequencing
Mouse	Adipose tissue	Adipose tissue	Schwalie et al.Nature.G3	Lrp6	Lrp6	Single-cell sequencing
